Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
SUP,Ley (14470240),Ley,14470240,SUP,4400,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,82.32
SUP,Lehends (14470179),Lehends,14470179,SUP,4200,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.01,0.02,30.00,11.00,19.00,0.37,0.60,2.77,6.50,2.57,41.40,1.25,7.40,225.00,0.76,0.06,0.13,12.00,0.01,12.28
SUP,TusiN (14470203),TusiN,14470203,SUP,4000,KT@DRX 04/02/2020 05:30AM ET,KT,0.02,0.04,29.00,15.00,14.00,0.52,0.62,2.03,6.14,3.32,47.10,1.49,7.60,239.00,0.69,0.06,0.14,14.00,0.07,4.26
SUP,Secret (14470169),Secret,14470169,SUP,3800,AF@APK 04/02/2020 02:00AM ET,APK,0.01,0.02,22.00,6.00,16.00,0.27,0.27,3.45,5.82,1.76,36.55,1.09,7.20,214.00,0.64,0.03,0.13,7.00,0.01,94.30
MID,Teacherma (14470327),Teacherma,14470327,CPT,12300,LGD@WE 04/02/2020 02:00AM ET,WE,1.10,0.27,11.00,7.00,4.00,0.64,4.09,2.27,8.82,5.68,228.64,7.13,12.20,380.00,0.73,0.23,0.21,6.00,0.00,0.00
MID,Knight (14470361),Knight,14470361,CPT,12000,SN@TES 04/02/2020 05:30AM ET,TES,1.24,0.31,20.00,12.00,8.00,0.60,4.00,2.25,6.75,4.78,268.15,8.38,0.00,0.00,0.78,0.29,0.00,12.00,0.00,0.00
MID,FoFo (14470336),FoFo,14470336,CPT,11700,RW@BLG 04/02/2020 04:00AM ET,BLG,0.67,0.22,25.00,10.00,15.00,0.40,3.04,1.92,4.64,4.00,272.24,7.96,12.60,368.00,0.77,0.31,0.22,14.00,0.19,73.86
MID,ShowMaker (14470293),ShowMaker,14470293,CPT,11400,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.09,0.03,29.00,13.00,16.00,0.45,2.86,1.72,4.55,4.30,290.38,8.62,13.10,390.00,0.68,0.26,0.22,12.00,0.00,0.00
MID,Fly (14470263),Fly,14470263,CPT,11100,AF@APK 04/02/2020 02:00AM ET,AF,0.10,0.05,27.00,12.00,15.00,0.44,2.00,2.56,4.93,2.71,255.59,7.27,12.10,343.00,0.68,0.20,0.21,13.00,0.00,0.00
MID,Angel (14470353),Angel,14470353,CPT,10500,SN@TES 04/02/2020 05:30AM ET,SN,0.60,0.14,25.00,11.00,14.00,0.44,4.32,2.44,5.64,4.08,247.84,7.68,12.40,384.00,0.73,0.32,0.22,13.00,0.00,0.00
MID,Chovy (14470301),Chovy,14470301,CPT,10200,KT@DRX 04/02/2020 05:30AM ET,DRX,0.25,0.09,30.00,19.00,11.00,0.63,2.73,1.57,5.43,5.21,302.43,9.01,13.40,398.00,0.65,0.22,0.22,18.00,0.00,0.00
MID,Yuuki (14470317),Yuuki,14470317,CPT,9900,LGD@WE 04/02/2020 02:00AM ET,LGD,0.18,0.05,22.00,8.00,14.00,0.36,3.50,3.32,5.23,2.63,266.50,8.12,12.70,388.00,0.64,0.26,0.22,12.00,0.07,148.20
MID,Ruby (14470345),Ruby,14470345,CPT,9600,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MID,Tempt (14470284),Tempt,14470284,CPT,9300,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.02,0.01,30.00,11.00,19.00,0.37,1.97,2.30,4.10,2.64,284.07,8.59,12.20,370.00,0.65,0.21,0.22,15.00,0.00,0.00
MID,Cover (14470274),Cover,14470274,CPT,9000,AF@APK 04/02/2020 02:00AM ET,APK,0.04,0.02,8.00,4.00,4.00,0.50,1.88,3.00,6.25,2.71,312.00,8.69,14.00,391.00,0.64,0.15,0.22,3.00,0.00,0.00
MID,Kuro (14470309),Kuro,14470309,CPT,8700,KT@DRX 04/02/2020 05:30AM ET,KT,0.19,0.08,29.00,15.00,14.00,0.52,2.34,1.28,4.48,5.35,256.24,8.09,11.50,364.00,0.70,0.24,0.21,14.00,0.00,0.00
MID,Teacherma (14470220),Teacherma,14470220,MID,8200,LGD@WE 04/02/2020 02:00AM ET,WE,1.10,0.27,11.00,7.00,4.00,0.64,4.09,2.27,8.82,5.68,228.64,7.13,12.20,380.00,0.73,0.23,0.21,6.00,0.39,101.42
