Date,Open,High,Low,Close,Adj Close,Volume
2019-07-16,1.460000,1.460000,1.310000,1.390000,1.390000,2338800
2019-07-17,1.580000,1.630000,1.270000,1.320000,1.320000,9990100
2019-07-18,1.280000,1.290000,1.120000,1.210000,1.210000,4104200
2019-07-19,1.200000,1.210000,1.130000,1.160000,1.160000,1960500
2019-07-22,1.100000,1.110000,1.000000,1.000000,1.000000,2587900
2019-07-23,1.110000,1.250000,1.010000,1.030000,1.030000,9454000
2019-07-24,1.160000,1.190000,1.060000,1.120000,1.120000,6542900
2019-07-25,1.090000,1.120000,1.050000,1.060000,1.060000,1659800
2019-07-26,1.040000,1.080000,0.970000,1.010000,1.010000,2155700
2019-07-29,1.000000,1.110000,1.000000,1.100000,1.100000,1855600
2019-07-30,1.100000,1.150000,1.060000,1.120000,1.120000,1152200
2019-07-31,1.100000,1.160000,1.080000,1.150000,1.150000,1437200
2019-08-01,1.160000,1.270000,1.160000,1.210000,1.210000,3090100
2019-08-02,1.180000,1.210000,1.120000,1.160000,1.160000,790000
2019-08-05,1.150000,1.170000,1.100000,1.150000,1.150000,799100
2019-08-06,1.200000,1.220000,1.110000,1.160000,1.160000,1057300
2019-08-07,1.140000,1.150000,1.060000,1.080000,1.080000,895500
2019-08-08,1.100000,1.100000,1.020000,1.040000,1.040000,1415400
2019-08-09,1.030000,1.090000,1.000000,1.070000,1.070000,951200
2019-08-12,1.060000,1.060000,1.010000,1.020000,1.020000,852800
2019-08-13,1.040000,1.090000,0.990000,1.020000,1.020000,1382300
2019-08-14,1.020000,1.040000,0.850000,0.900000,0.900000,1513600
2019-08-15,0.900000,0.920000,0.800000,0.820000,0.820000,898500
2019-08-16,0.850000,0.850000,0.780000,0.820000,0.820000,672200
2019-08-19,0.870000,0.870000,0.830000,0.840000,0.840000,420800
2019-08-20,0.850000,0.850000,0.800000,0.840000,0.840000,379400
2019-08-21,0.820000,0.930000,0.820000,0.890000,0.890000,769700
2019-08-22,0.900000,0.900000,0.840000,0.870000,0.870000,274000
2019-08-23,0.850000,0.880000,0.810000,0.830000,0.830000,265500
2019-08-26,0.830000,0.860000,0.820000,0.830000,0.830000,190400
2019-08-27,0.840000,0.920000,0.800000,0.810000,0.810000,1073000
2019-08-28,0.810000,0.840000,0.800000,0.820000,0.820000,297200
2019-08-29,0.820000,0.860000,0.820000,0.830000,0.830000,314000
2019-08-30,0.830000,0.850000,0.820000,0.820000,0.820000,151300
2019-09-03,0.830000,0.840000,0.810000,0.820000,0.820000,218300
2019-09-04,0.820000,0.840000,0.800000,0.820000,0.820000,254500
2019-09-05,0.810000,0.820000,0.800000,0.810000,0.810000,239300
2019-09-06,0.810000,0.830000,0.790000,0.820000,0.820000,398100
2019-09-09,0.820000,0.900000,0.790000,0.820000,0.820000,1407100
2019-09-10,0.820000,0.820000,0.780000,0.800000,0.800000,427000
2019-09-11,0.800000,0.820000,0.780000,0.800000,0.800000,469700
2019-09-12,0.800000,0.820000,0.790000,0.810000,0.810000,269900
2019-09-13,0.830000,0.870000,0.800000,0.820000,0.820000,1224700
2019-09-16,0.810000,0.840000,0.790000,0.820000,0.820000,356400
2019-09-17,0.850000,0.850000,0.810000,0.810000,0.810000,225800
2019-09-18,0.810000,0.830000,0.790000,0.800000,0.800000,198200
2019-09-19,0.800000,0.810000,0.720000,0.770000,0.770000,537300
2019-09-20,0.760000,0.760000,0.680000,0.690000,0.690000,882600
